s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,Y_LT25,F,THS_PER,AT	19 u	18 u	18 u	19 u	21 u	23 u	23 u	24 u	24 u	23 u	22 u	: 
SA,Y_LT25,F,THS_PER,BE	23 	24 	24 	24 	24 	24 	24 	26 	26 	26 	: 	: 
SA,Y_LT25,F,THS_PER,BG	4 	4 	4 	4 	6 	6 	6 	8 	7 	6 	6 	: 
SA,Y_LT25,F,THS_PER,CH	24 	24 	24 	23 	20 	19 	20 	22 	23 	22 	: 	: 
SA,Y_LT25,F,THS_PER,CY	3 	3 	3 	3 	2 	2 	2 	3 	3 	3 	: 	: 
SA,Y_LT25,F,THS_PER,CZ	7 	7 	6 	6 	6 	7 	9 	8 	10 	10 	12 	: 
SA,Y_LT25,F,THS_PER,DE	92 	94 	98 	102 	106 e	110 e	112 e	114 e	114 e	112 e	109 e	: 
SA,Y_LT25,F,THS_PER,DK	20 	22 	22 	22 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,F,THS_PER,EA	989 	986 	984 	981 	1011 	996 	988 	1020 	1025 	1056 	1068 	: 
SA,Y_LT25,F,THS_PER,EA18	984 	980 	979 	975 	1005 	989 	981 	1012 	1017 	1047 	1061 	: 
SA,Y_LT25,F,THS_PER,EA19	989 	986 	984 	981 	1011 	996 	988 	1020 	1025 	1056 	1068 	: 
SA,Y_LT25,F,THS_PER,EE	2 	2 	3 	3 	2 	2 	2 	3 	5 	6 	: 	: 
SA,Y_LT25,F,THS_PER,EL	41 	42 	42 	36 	39 	40 	31 	40 	39 	40 	: 	: 
SA,Y_LT25,F,THS_PER,ES	242 	226 	217 	219 	223 	218 	225 	229 	225 	243 	237 	: 
SA,Y_LT25,F,THS_PER,EU27_2007	1387 	1353 	1357 	1349 	1382 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,F,THS_PER,EU27_2020	1203 	1183 	1185 	1167 	1201 	1196 	1195 	1247 	1281 	1309 	1320 	: 
SA,Y_LT25,F,THS_PER,EU28	1398 	1364 	1368 	1359 	1393 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,F,THS_PER,FI	27 	27 	27 	28 	28 	28 	28 	28 	29 	29 	29 	: 
SA,Y_LT25,F,THS_PER,FR	234 	239 	242 	244 	253 	242 	238 	268 	244 	234 	234 	: 
SA,Y_LT25,F,THS_PER,HR	11 	11 	11 	11 	11 	11 	11 	16 	16 	16 	: 	: 
SA,Y_LT25,F,THS_PER,HU	15 	17 	15 	13 	13 	14 	19 	21 	28 	25 	: 	: 
SA,Y_LT25,F,THS_PER,IE	14 	14 	14 	15 	15 	15 	16 	17 	19 	21 	23 	24 
SA,Y_LT25,F,THS_PER,IS	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,F,THS_PER,IT	179 	182 	182 	182 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,F,THS_PER,LT	5 	5 	6 	6 	6 	6 	7 	8 	8 	9 	7 	: 
SA,Y_LT25,F,THS_PER,LU	2 	2 	2 	2 	2 	2 	2 	3 	3 	3 	3 	: 
SA,Y_LT25,F,THS_PER,LV	3 	3 	3 	3 	3 	3 	3 	4 	4 	4 	4 	: 
SA,Y_LT25,F,THS_PER,MT	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
SA,Y_LT25,F,THS_PER,NL	47 	48 	47 	44 	45 	46 	43 	52 	62 	73 	81 	: 
SA,Y_LT25,F,THS_PER,NO	17 	17 	17 	17 	17 	16 	16 	18 	22 	24 	: 	: 
SA,Y_LT25,F,THS_PER,PL	47 	44 	42 	40 	46 	47 	48 	51 	51 	52 	51 	: 
SA,Y_LT25,F,THS_PER,PT	34 	36 	41 	38 	38 	39 	42 	46 	36 	46 	45 	: 
SA,Y_LT25,F,THS_PER,RO	44 	38 	38 	38 	41 	41 	41 	: 	: 	: 	: 	: 
SA,Y_LT25,F,THS_PER,SE	63 	53 	61 	55 	47 	62 	51 	63 	78 	81 	79 	: 
SA,Y_LT25,F,THS_PER,SI	3 	3 	3 	3 	4 	4 	4 	4 	4 	4 	: 	: 
SA,Y_LT25,F,THS_PER,SK	13 	13 	12 	12 	12 	12 	11 	13 	12 	12 	13 	: 
SA,Y_LT25,F,THS_PER,UK	194 	181 	183 	192 	192 	203 	214 	246 	237 	: 	: 	: 
SA,Y_LT25,F,THS_PER,US	722 	678 	723 	758 	808 	781 	1022 	2754 	2498 	2061 	1719 	: 
SA,Y_LT25,M,THS_PER,AT	26 u	26 u	26 u	27 u	28 u	30 u	32 u	34 u	35 u	31 u	29 u	: 
SA,Y_LT25,M,THS_PER,BE	31 	36 	36 	36 	23 	23 	23 	26 	26 	26 	: 	: 
SA,Y_LT25,M,THS_PER,BG	8 	9 	10 	10 	12 	11 	9 	12 	11 	9 	9 	: 
SA,Y_LT25,M,THS_PER,CH	27 	27 	27 	27 	27 	27 	27 	27 	27 	27 	: 	: 
SA,Y_LT25,M,THS_PER,CY	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	: 	: 
SA,Y_LT25,M,THS_PER,CZ	8 	8 	8 	8 	10 	9 	8 	9 	11 	12 	12 	: 
SA,Y_LT25,M,THS_PER,DE	153 	150 	147 	144 	141 e	138 e	137 e	136 e	136 e	136 e	137 e	: 
SA,Y_LT25,M,THS_PER,DK	22 	24 	24 	24 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,M,THS_PER,EA	1258 	1241 	1248 	1252 	1239 	1207 	1178 	1229 	1211 	1253 	1269 	: 
SA,Y_LT25,M,THS_PER,EA18	1248 	1232 	1238 	1241 	1228 	1196 	1167 	1217 	1198 	1240 	1254 	: 
SA,Y_LT25,M,THS_PER,EA19	1258 	1241 	1248 	1252 	1239 	1207 	1178 	1229 	1211 	1253 	1269 	: 
SA,Y_LT25,M,THS_PER,EE	3 	2 	2 	2 	2 	3 	3 	4 	4 	6 	: 	: 
SA,Y_LT25,M,THS_PER,EL	41 	41 	38 	39 	38 	39 	37 	38 	39 	39 	: 	: 
SA,Y_LT25,M,THS_PER,ES	258 	255 	253 	250 	274 	269 	277 	281 	267 	278 	278 	: 
SA,Y_LT25,M,THS_PER,EU27_2007	1789 	1782 	1783 	1794 	1791 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,M,THS_PER,EU27_2020	1526 	1519 	1527 	1528 	1514 	1518 	1434 	1520 	1492 	1560 	1586 	: 
SA,Y_LT25,M,THS_PER,EU28	1802 	1794 	1796 	1807 	1803 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,M,THS_PER,FI	32 	32 	32 	33 	33 	33 	34 	34 	35 	35 	36 	: 
SA,Y_LT25,M,THS_PER,FR	310 	324 	329 	331 	308 	283 	279 	322 	293 	278 	275 	: 
SA,Y_LT25,M,THS_PER,HR	13 	12 	12 	12 	13 	13 	13 	21 	21 	21 	: 	: 
SA,Y_LT25,M,THS_PER,HU	24 	25 	24 	22 	21 	22 	19 	21 	21 	24 	: 	: 
SA,Y_LT25,M,THS_PER,IE	20 	17 	18 	19 	23 	23 	21 	17 	15 	15 	16 	17 
SA,Y_LT25,M,THS_PER,IS	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	: 
SA,Y_LT25,M,THS_PER,IT	246 	235 	235 	235 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,M,THS_PER,LT	9 	10 	10 	10 	10 	11 	11 	12 	13 	14 	16 	: 
SA,Y_LT25,M,THS_PER,LU	2 	2 	2 	3 	2 	2 	3 	4 	4 	4 	4 	: 
SA,Y_LT25,M,THS_PER,LV	3 	3 	4 	4 	5 	5 	6 	7 	7 	7 	6 	: 
SA,Y_LT25,M,THS_PER,MT	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	: 
SA,Y_LT25,M,THS_PER,NL	59 	61 	63 	57 	52 	48 	51 	67 	70 	83 	78 	: 
SA,Y_LT25,M,THS_PER,NO	21 	21 	22 	22 	22 	21 	21 	20 	22 	24 	: 	: 
SA,Y_LT25,M,THS_PER,PL	66 	60 	57 	57 	63 	69 	64 	58 	56 	54 	50 	: 
SA,Y_LT25,M,THS_PER,PT	37 	31 	29 	31 	34 	30 	24 	24 	30 	41 	40 	: 
SA,Y_LT25,M,THS_PER,RO	62 	73 	73 	73 	68 	68 	68 	: 	: 	: 	: 	: 
SA,Y_LT25,M,THS_PER,SE	63 	70 	69 	67 	79 	67 	63 	88 	77 	93 	90 	: 
SA,Y_LT25,M,THS_PER,SI	3 	3 	3 	3 	3 	3 	3 	4 	4 	4 	: 	: 
