,unit,age,sex,isced11,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,THS,Y15-24,T,TOTAL,AT,11.7,9.4,9.2,10.8,8.5,9.1,9.9,11.7,11.9,11.4,10.1,9.4
1,THS,Y15-24,T,TOTAL,BE,9.5,9.1,9.3,8.6,6.0,8.7,7.9,7.8,10.1,8.8,8.1,8.7
2,THS,Y15-24,T,TOTAL,BG,,,,,,,,,,,,
3,THS,Y15-24,T,TOTAL,CH,32.7,32.3,21.4,22.0,20.5,21.5,23.6,25.5,25.0,28.3,28.1,28.1
4,THS,Y15-24,T,TOTAL,CY,0.7,0.7,0.6,0.6,0.6,,,,,,0.6,
5,THS,Y15-24,T,TOTAL,CZ,2.1,2.5,3.2,2.6,3.2,3.2,2.7,2.4,4.0,4.0,3.6,3.7
6,THS,Y15-24,T,TOTAL,DE,83.9,82.9,75.2,106.2,118.1,115.2,125.2,121.5,145.9,151.4,148.4,160.0
7,THS,Y15-24,T,TOTAL,DK,47.0,48.5,39.4,42.1,39.5,37.6,38.2,39.5,50.9,46.2,41.1,48.5
8,THS,Y15-24,T,TOTAL,EA19,389.4,361.6,332.9,358.6,363.8,393.2,389.2,400.5,429.8,436.4,437.8,446.7
9,THS,Y15-24,T,TOTAL,EE,,,,1.6,1.2,2.2,,1.4,1.4,2.2,2.7,1.9
10,THS,Y15-24,T,TOTAL,EL,5.4,6.8,4.2,3.0,2.8,2.3,1.9,1.3,2.3,3.2,,1.6
11,THS,Y15-24,T,TOTAL,ES,37.5,23.9,22.0,13.5,11.3,12.4,13.0,14.5,13.3,15.9,20.0,17.1
12,THS,Y15-24,T,TOTAL,EU27_2020,542.9,520.5,474.2,496.4,502.2,522.7,522.5,529.5,576.3,575.4,565.2,591.0
13,THS,Y15-24,T,TOTAL,EU28,707.7,668.1,611.4,629.5,645.8,673.5,668.5,674.4,703.9,688.9,684.9,710.7
14,THS,Y15-24,T,TOTAL,FI,14.4,13.8,13.4,13.5,16.8,15.3,15.6,17.4,18.9,19.4,19.3,19.4
15,THS,Y15-24,T,TOTAL,FR,50.4,51.4,51.7,53.8,48.3,62.8,53.8,56.9,56.4,48.9,55.7,58.6
16,THS,Y15-24,T,TOTAL,HR,1.6,1.6,1.3,1.1,,,,,,,,
17,THS,Y15-24,T,TOTAL,HU,,,,,,,,,,,,
18,THS,Y15-24,T,TOTAL,IE,5.9,4.0,3.6,3.1,2.7,3.6,3.0,3.0,3.2,5.0,5.2,6.8
19,THS,Y15-24,T,TOTAL,IS,3.0,2.8,2.5,2.7,3.1,3.8,3.7,4.4,4.7,4.8,4.0,3.4
20,THS,Y15-24,T,TOTAL,IT,17.4,12.7,10.9,9.3,8.3,7.1,6.6,7.1,6.7,8.9,6.9,7.4
21,THS,Y15-24,T,TOTAL,LT,,,,,,2.0,3.4,2.4,1.6,1.3,,1.7
22,THS,Y15-24,T,TOTAL,LU,,,,,,,,0.9,1.0,0.5,0.9,0.9
23,THS,Y15-24,T,TOTAL,LV,3.7,,,,1.9,,,,1.5,,,
24,THS,Y15-24,T,TOTAL,ME,,,,,,,,,,,,
25,THS,Y15-24,T,TOTAL,MK,1.0,1.5,0.8,0.8,,,,,,,0.7,1.6
26,THS,Y15-24,T,TOTAL,MT,0.8,0.4,0.6,0.7,0.7,0.5,0.8,0.6,0.6,0.5,0.4,
27,THS,Y15-24,T,TOTAL,NL,131.4,132.2,117.0,120.2,127.6,141.6,135.3,143.9,146.2,147.3,145.3,142.0
28,THS,Y15-24,T,TOTAL,NO,36.9,32.7,30.3,33.4,38.3,38.3,36.0,38.9,38.7,37.4,35.4,39.0
29,THS,Y15-24,T,TOTAL,PL,45.6,47.4,44.6,39.8,39.0,33.9,32.0,27.1,31.7,27.9,26.3,26.6
30,THS,Y15-24,T,TOTAL,PT,8.7,7.3,7.0,7.9,5.3,5.8,7.1,5.9,6.2,6.6,7.1,7.1
