s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,F,PC_ACT,AT	4.2 	4.2 	4.1 	4.2 	4.3 	4.3 	4.4 	4.7 	4.9 	4.7 	4.5 	: 
SA,TOTAL,F,PC_ACT,BE	4.9 	4.8 	4.7 	4.6 	4.8 	4.9 	5.0 	5.2 	5.2 	5.1 	5.1 	: 
SA,TOTAL,F,PC_ACT,BG	3.7 	3.8 	3.8 	3.6 	4.0 	3.8 	3.9 	4.6 	4.4 	4.1 	4.1 	: 
SA,TOTAL,F,PC_ACT,CH	4.6 	4.3 	4.2 	4.2 	4.4 	4.4 	4.5 	4.5 	4.6 	4.7 	: 	: 
SA,TOTAL,F,PC_ACT,CY	7.6 	7.5 	7.3 	7.1 	6.5 	6.0 	6.4 	8.1 	8.4 	7.2 	6.3 	: 
SA,TOTAL,F,PC_ACT,CZ	2.4 	2.4 	2.3 	2.3 	2.2 	2.3 	2.4 	2.5 	2.8 	2.9 	3.1 	: 
SA,TOTAL,F,PC_ACT,DE	2.6 	2.6 	2.7 	2.8 	3.0 e	3.3 e	3.5 e	3.8 e	4.1 e	4.3 e	4.4 e	: 
SA,TOTAL,F,PC_ACT,DK	5.5 	5.6 	5.5 	5.3 	5.0 	5.1 	5.0 	5.3 	6.1 	6.4 	6.1 	: 
SA,TOTAL,F,PC_ACT,EA	7.8 	7.8 	7.7 	7.7 	7.8 	7.7 	7.6 	7.6 	7.8 	8.0 	8.3 	: 
SA,TOTAL,F,PC_ACT,EA18	7.8 	7.8 	7.7 	7.7 	7.9 	7.7 	7.7 	7.7 	7.8 	8.0 	8.3 	: 
SA,TOTAL,F,PC_ACT,EA19	7.8 	7.8 	7.7 	7.7 	7.8 	7.7 	7.6 	7.6 	7.8 	8.0 	8.3 	: 
SA,TOTAL,F,PC_ACT,EE	4.9 	4.3 	4.5 	4.2 	4.4 	4.2 	4.4 	6.1 	7.5 	7.2 	: 	: 
SA,TOTAL,F,PC_ACT,EL	20.7 	20.5 	20.4 	20.1 	19.9 	19.7 	16.1 	19.2 	22.1 	21.1 	: 	: 
SA,TOTAL,F,PC_ACT,ES	16.1 	15.8 	15.6 	15.5 	15.6 	15.5 	16.1 	16.8 	16.9 	17.1 	16.9 	: 
SA,TOTAL,F,PC_ACT,EU27_2007	6.5 	6.4 	6.4 	6.3 	6.5 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,F,PC_ACT,EU27_2020	6.9 	6.9 	6.9 	6.8 	6.9 	6.9 	6.8 	6.9 	7.1 	7.3 	7.5 	: 
SA,TOTAL,F,PC_ACT,EU28	6.5 	6.4 	6.4 	6.4 	6.5 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,F,PC_ACT,FI	6.4 	6.4 	6.5 	6.5 	6.6 	6.7 	6.8 	6.9 	7.1 	7.2 	7.3 	: 
SA,TOTAL,F,PC_ACT,FR	8.3 	8.2 	8.1 	8.1 	8.2 	7.8 	7.5 	7.6 	6.6 	6.2 	6.8 	: 
SA,TOTAL,F,PC_ACT,HR	7.0 	6.9 	6.9 	6.9 	6.6 	6.6 	7.2 	8.7 	9.6 	9.4 	9.3 	: 
