age,worktime,unit,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
Y15-24,PT,PC_EMP,T,AT	18.2 	17.8 	19.3 	19.4 	19.2 	20.2 	23.5 	22.7 	24.4 	26.6 	23.7 	25.0 
Y15-24,PT,PC_EMP,T,BE	20.7 	23.7 	24.1 	25.2 	25.6 	26.5 	26.5 	27.4 	28.9 	31.7 b	35.5 	38.4 
Y15-24,PT,PC_EMP,T,BG	3.3 	3.9 	5.0 b	4.6 b	4.2 u	6.0 	6.0 	5.7 	7.4 	7.9 	5.6 	7.5 
Y15-24,PT,PC_EMP,T,CH	: 	: 	20.9 b	21.0 	22.4 	22.9 	24.1 	24.4 	25.1 	24.8 	24.6 	27.2 
Y15-24,PT,PC_EMP,T,CY	12.0 	13.9 b	14.9 	16.1 	18.8 	23.6 	22.7 	25.8 	29.6 	23.9 	19.3 	18.0 
Y15-24,PT,PC_EMP,T,CZ	5.5 	8.2 	9.0 	7.6 b	9.9 	11.7 	10.7 	10.8 	11.9 	14.2 	13.6 	13.7 
Y15-24,PT,PC_EMP,T,DE	20.8 	20.6 	19.8 b	21.4 b	21.7 	23.1 	22.4 	23.6 	24.4 	25.2 	25.5 	26.2 
Y15-24,PT,PC_EMP,T,DK	56.0 b	60.3 	61.4 	61.9 	64.5 	64.9 	66.4 	66.2 	66.2 b	64.8 b	63.4 	63.6 
Y15-24,PT,PC_EMP,T,EA19	25.4 	26.7 	27.7 	28.7 	30.0 	31.4 	31.7 	32.3 	32.8 	33.4 	33.2 	33.6 
Y15-24,PT,PC_EMP,T,EE	13.2 	18.0 	22.2 	17.5 	18.8 	20.5 	20.1 	22.8 	24.7 	19.6 	27.4 	28.8 
Y15-24,PT,PC_EMP,T,EL	13.2 	14.6 b	16.5 	17.8 	19.4 	21.1 	21.9 	23.1 	26.4 	27.1 	26.6 	30.1 
Y15-24,PT,PC_EMP,T,ES	22.9 	25.5 	29.7 	32.6 	35.4 	39.8 	38.9 	37.9 	38.7 	38.2 	37.3 	36.4 
Y15-24,PT,PC_EMP,T,EU27_2020	24.1 	25.4 	26.6 	27.6 	28.8 	30.0 	30.1 	30.6 	30.9 	31.3 	31.2 	31.5 
Y15-24,PT,PC_EMP,T,EU28	26.0 	27.6 	29.0 	29.7 	31.1 	31.9 	31.7 	32.1 	32.3 	32.3 	32.2 	32.6 
Y15-24,PT,PC_EMP,T,FI	36.8 	40.2 	39.9 	38.7 	39.1 	39.4 	41.1 	41.7 	42.4 	43.9 	41.9 	43.7 
Y15-24,PT,PC_EMP,T,FR	22.8 e	22.8 e	22.5 e	22.5 e	23.3 e	23.9 e	25.1 	24.7 	24.8 	25.0 	24.6 	23.9 
Y15-24,PT,PC_EMP,T,FX	22.7 	22.6 	22.3 	22.4 	23.1 	23.8 	24.9 	24.7 	24.6 	24.8 	24.5 	23.7 
Y15-24,PT,PC_EMP,T,HR	6.7 u	6.5 u	8.2 	6.9 u	5.1 u	5.4 u	12.4 	12.8 	8.4 	7.5 u	11.8 	7.4 u
Y15-24,PT,PC_EMP,T,HU	5.7 	7.3 	9.2 	10.1 	9.9 	9.0 	6.9 	6.8 	8.3 	6.3 	7.9 	7.8 
Y15-24,PT,PC_EMP,T,IE	28.2 	36.4 	43.5 	46.8 	48.8 	47.1 	45.3 	44.4 	44.1 	42.9 	41.9 	44.7 
Y15-24,PT,PC_EMP,T,IS	40.2 	48.7 	48.4 	45.7 	48.1 	48.7 	49.0 	51.4 	50.1 	47.9 	48.2 	48.4 
Y15-24,PT,PC_EMP,T,IT	20.7 	21.3 	24.2 	23.9 	27.5 	28.4 	30.2 	29.5 	29.6 	31.0 	29.1 	29.2 
Y15-24,PT,PC_EMP,T,LT	10.2 u	12.1 	11.4 	12.9 	15.4 	16.0 	13.7 	11.4 	11.5 	14.4 	17.8 	15.4 
Y15-24,PT,PC_EMP,T,LU	7.0 u	18.4 b	16.5 	16.8 	22.6 	22.7 	27.9 	28.5 b	32.4 	24.4 	23.4 	23.4 
Y15-24,PT,PC_EMP,T,LV	10.1 	13.7 	14.0 	12.0 	15.0 	13.3 	10.8 	12.3 	14.8 	14.8 	15.1 	22.3 
Y15-24,PT,PC_EMP,T,ME	: 	: 	: 	: u	: u	: u	8.4 u	: u	: u	: u	7.4 u	: u
Y15-24,PT,PC_EMP,T,MK	8.8 	9.3 	10.3 	13.4 	14.4 	10.5 	14.9 	11.5 	12.1 	9.6 	4.9 	7.2 
Y15-24,PT,PC_EMP,T,MT	14.2 	13.1 	17.8 	21.1 	20.8 	22.6 	26.3 	22.2 	22.4 	21.4 	23.9 	19.5 
Y15-24,PT,PC_EMP,T,NL	71.5 	73.7 	74.9 	75.4 	76.8 	77.8 	78.9 	80.0 	80.0 	80.0 	79.6 	79.7 
Y15-24,PT,PC_EMP,T,NO	54.4 	55.8 	55.8 	56.6 	57.4 	57.5 	56.4 	58.8 	60.2 	58.8 	57.3 	58.5 
Y15-24,PT,PC_EMP,T,PL	14.2 	14.3 	15.5 b	15.4 	16.7 	16.2 	15.4 	14.1 	13.3 	14.5 	14.5 	13.5 
Y15-24,PT,PC_EMP,T,PT	10.8 	12.1 	13.0 	17.8 b	20.4 	23.4 	22.3 	22.6 	22.9 	19.7 	19.4 	20.8 
Y15-24,PT,PC_EMP,T,RO	14.7 	14.5 	17.8 b	18.0 	17.7 	17.9 	17.1 	19.2 	16.5 	16.0 	15.0 	13.2 
Y15-24,PT,PC_EMP,T,RS	: 	: 	: 	: 	: 	: 	20.1 	21.3 	21.3 	15.6 	13.2 	13.8 
Y15-24,PT,PC_EMP,T,SE	45.6 	49.2 	49.5 	47.2 	48.4 	48.5 	49.4 	49.0 	49.0 	48.9 	47.9 b	50.2 
Y15-24,PT,PC_EMP,T,SI	31.4 	36.6 	40.9 	40.8 	38.3 	42.5 	42.4 	41.3 	36.7 	37.5 	33.5 	31.1 
Y15-24,PT,PC_EMP,T,SK	3.5 	5.1 	7.4 	6.7 b	7.3 	9.2 	11.0 	11.8 	10.9 	10.0 	8.5 	8.0 
Y15-24,PT,PC_EMP,T,TR	8.8 	11.7 	12.3 	12.8 	13.0 	14.1 	14.1 b	14.0 	15.2 	15.3 	15.8 	15.7 
