geo,F,M,T
AT,3.83,4.15,4.01
BE,4.24,4.83,4.56
BG,3.75,4.25,4.03
CH,3.96,3.71,3.81
CY,6.38,5.63,6.0
CZ,2.26,1.75,1.98
DE,3.16,3.67,3.44
DK,4.76,3.86,4.29
EA,7.06,6.28,6.66
EA18,7.07,6.28,6.66
EA19,7.06,6.28,6.66
EE,4.59,4.77,4.7
EL,19.05,12.74,15.51
ES,14.91,11.65,13.16
EU27_2007,5.72,5.12,5.4
EU27_2020,6.25,5.59,5.9
EU28,5.72,5.12,5.4
FI,5.28,5.71,5.52
FR,6.44,6.42,6.4
HR,6.65,5.7,6.15
HU,3.43,3.0,3.2
IE,3.62,4.02,3.85
IS,3.14,2.71,2.91
IT,9.67,7.45,8.43
LT,5.67,7.17,6.44
LU,5.17,5.14,5.16
LV,5.93,7.75,6.83
MT,3.73,2.78,3.15
NL,2.68,2.65,2.66
NO,2.76,3.28,3.03
PL,2.8,2.48,2.62
PT,5.98,5.34,5.65
RO,2.96,3.97,3.53
SE,5.82,5.67,5.73
SI,4.6,3.52,4.03
SK,5.65,5.12,5.35
TR,,,11.2
UK,2.64,2.74,2.69
US,6.16,5.55,5.85
