,indic_il,geo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
0,GINI_HND,AT,27.5,26.8,27.9,27.2,27.2,27.6,27.0,27.6,27.4,28.3,27.5,27.7,26.2,25.3,26.3,25.8,27.4,,24.0,24.0,26.0,24.0,25.0,26.0,27.0
1,GINI_HND,BE,,25.7,26.1,26.3,26.2,25.9,25.9,26.5,26.3,26.6,26.4,27.5,26.3,27.8,28.0,26.1,28.3,,28.0,30.0,29.0,27.0,27.0,28.0,29.0
2,GINI_HND,BG,40.8,39.6,40.2,37.7,37.0,35.4,35.4,33.6,35.0,33.2,33.4,35.9,35.3,31.2,,,,26.0,26.0,25.0,,,,,
3,GINI_HND,CH,,29.7,30.1,29.4,29.6,29.5,28.5,28.8,29.7,29.6,30.7,31.1,30.4,,,,,,,,,,,,
4,GINI_HND,CY,31.1,29.1,30.8,32.1,33.6,34.8,32.4,31.0,29.2,30.1,29.5,29.0,29.8,28.8,28.7,,,,,,,,29.0,,
5,GINI_HND,CZ,24.0,24.0,24.5,25.1,25.0,25.1,24.6,24.9,25.2,24.9,25.1,24.7,25.3,25.3,26.0,,,,25.0,,,,,,
6,GINI_HND,DE,,31.1,29.1,29.5,30.1,30.7,29.7,28.3,29.0,29.3,29.1,30.2,30.4,26.8,26.1,,,,25.0,25.0,25.0,25.0,25.0,27.0,29.0
7,GINI_HND,DK,27.5,27.8,27.6,27.7,27.4,27.7,26.8,26.5,26.6,26.9,26.9,25.1,25.2,23.7,23.9,23.9,24.8,,22.0,,21.0,,20.0,,20.0
8,GINI_HND,EA,,30.6,30.4,30.7,30.7,30.9,30.6,30.4,30.6,30.2,30.2,30.5,,,,,,,,,,,,,
9,GINI_HND,EA18,,30.6,30.3,30.7,30.7,30.9,30.7,30.4,30.6,30.3,30.3,30.5,30.0,29.3,29.3,30.7,,,,,,,,,
