,indic_em,age,unit,sex,geo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,LTU,Y15-74,PC_ACT,F,AT,,,1.1,1.0,1.6,1.5,1.4,1.5,1.0,1.1,1.0,1.1,1.1,1.2,1.4,1.4,1.7,1.7,1.3,1.0
1,LTU,Y15-74,PC_ACT,F,BE,4.7,3.5,4.3,4.2,4.7,5.0,4.9,4.3,3.6,3.6,4.1,3.6,3.2,3.7,3.8,3.9,3.8,3.2,2.6,2.1
2,LTU,Y15-74,PC_ACT,F,BG,9.4,11.9,11.4,8.6,7.0,6.0,5.3,4.5,3.1,3.1,4.4,5.5,5.8,6.6,6.0,5.0,4.1,3.2,2.6,2.2
3,LTU,Y15-74,PC_ACT,F,CH,,,,,,,,,,,1.9,1.7,1.6,1.7,1.9,1.9,1.9,1.9,1.9,1.7
4,LTU,Y15-74,PC_ACT,F,CY,,,,,,1.8,1.2,0.7,0.5,0.6,1.3,1.5,3.1,5.6,7.0,6.2,5.1,4.0,2.8,2.3
5,LTU,Y15-74,PC_ACT,F,CZ,5.2,5.2,4.6,5.0,5.3,5.3,4.9,3.6,2.8,2.5,3.5,3.2,3.6,3.7,3.2,2.9,2.0,1.3,0.8,0.7
6,LTU,Y15-74,PC_ACT,F,DE,,,,,,5.7,5.7,4.9,3.9,3.4,3.0,2.6,2.2,2.1,1.9,1.7,1.4,1.3,1.1,1.0
7,LTU,Y15-74,PC_ACT,F,DK,1.2,1.0,1.0,1.0,1.3,1.2,0.9,0.7,0.5,0.5,1.1,1.6,2.0,2.0,1.7,1.6,1.2,1.2,1.1,0.9
8,LTU,Y15-74,PC_ACT,F,EA19,,,,,,4.6,4.3,3.7,3.3,3.6,4.3,4.7,5.3,6.0,6.1,5.6,5.1,4.5,4.0,3.5
9,LTU,Y15-74,PC_ACT,F,EE,5.7,5.5,4.8,4.3,4.4,4.2,2.6,1.7,1.3,2.9,5.8,6.2,4.9,3.4,2.7,2.2,1.8,1.6,1.2,0.8
10,LTU,Y15-74,PC_ACT,F,EL,10.2,9.1,8.6,8.9,9.4,8.9,8.1,7.0,5.9,6.0,8.1,11.6,17.4,21.4,22.4,21.2,20.5,19.4,17.5,15.4
11,LTU,Y15-74,PC_ACT,F,ES,9.5,6.1,6.0,5.9,5.2,3.3,2.7,2.4,2.8,4.9,7.6,9.3,11.4,13.5,13.7,12.4,10.8,8.8,7.4,6.5
12,LTU,Y15-74,PC_ACT,F,EU27_2020,,,,,,5.0,4.5,3.7,3.1,3.4,4.0,4.4,5.0,5.5,5.5,5.0,4.5,3.9,3.4,2.9
13,LTU,Y15-74,PC_ACT,F,EU28,,,,,,4.4,4.0,3.3,2.8,3.1,3.7,4.1,4.6,5.1,5.0,4.5,4.0,3.5,3.0,2.6
14,LTU,Y15-74,PC_ACT,F,FI,2.7,2.3,2.0,1.9,2.0,1.9,1.8,1.4,1.1,1.1,1.4,1.2,1.2,1.3,1.6,1.8,2.0,1.8,1.4,1.0
15,LTU,Y15-74,PC_ACT,F,FR,,,,3.5,3.6,3.6,3.8,3.3,3.0,3.5,4.1,4.1,4.4,4.7,4.3,4.3,4.3,4.1,3.7,3.3
16,LTU,Y15-74,PC_ACT,F,HR,,,,,,8.4,7.8,7.2,6.7,6.5,7.3,8.5,10.2,10.6,10.7,10.4,6.5,4.5,3.8,2.4
17,LTU,Y15-74,PC_ACT,F,HU,2.5,2.1,2.2,2.3,2.6,3.2,3.5,3.6,3.6,4.1,5.2,5.3,4.8,4.9,3.7,3.1,2.4,1.8,1.5,1.1
18,LTU,Y15-74,PC_ACT,F,IE,1.1,0.9,0.9,1.0,1.1,0.9,1.0,1.1,1.1,2.1,4.3,5.8,6.1,6.0,5.1,4.0,3.2,2.5,1.8,1.2
19,LTU,Y15-74,PC_ACT,F,IS,,,,,,,,,,,1.1,1.6,1.5,0.9,0.6,0.7,,,,
20,LTU,Y15-74,PC_ACT,F,IT,8.9,8.1,7.3,6.7,5.3,5.0,4.4,3.8,4.0,4.3,4.7,5.0,6.4,7.4,8.6,7.4,7.4,7.1,6.9,6.2
21,LTU,Y15-74,PC_ACT,F,LT,,,6.8,6.0,6.0,4.6,2.6,1.3,1.5,2.8,5.9,6.7,5.8,4.6,4.2,3.4,2.6,2.1,1.7,1.8
22,LTU,Y15-74,PC_ACT,F,LU,,,,0.9,1.4,1.2,1.6,1.0,2.1,1.6,1.3,1.6,1.9,1.9,1.6,1.9,2.1,1.9,1.5,1.3
23,LTU,Y15-74,PC_ACT,F,LV,,,5.0,5.0,4.9,4.1,2.0,1.3,1.8,3.6,6.7,6.7,7.0,5.0,4.0,3.6,3.1,2.7,2.4,1.9
24,LTU,Y15-74,PC_ACT,F,ME,,,,,,,,,,,,16.6,15.9,15.0,14.1,13.3,12.9,12.8,11.6,12.7
25,LTU,Y15-74,PC_ACT,F,MK,,,,,,,31.2,30.3,28.4,26.5,26.6,24.9,24.5,23.8,23.8,20.1,17.8,17.1,15.1,12.4
26,LTU,Y15-74,PC_ACT,F,MT,,,2.0,2.3,3.0,3.3,2.3,2.5,2.3,2.5,4.1,3.6,4.1,3.3,2.2,1.9,2.3,2.2,1.3,0.8
27,LTU,Y15-74,PC_ACT,F,NL,,,,1.1,1.6,2.6,2.4,1.9,1.4,1.3,1.5,1.7,2.0,2.5,3.0,2.9,2.7,2.1,1.5,1.0
28,LTU,Y15-74,PC_ACT,F,NO,0.2,0.3,0.4,0.4,0.6,0.7,0.6,0.4,0.3,0.4,0.5,0.6,0.4,0.6,0.7,0.8,0.9,0.9,0.8,0.7
29,LTU,Y15-74,PC_ACT,F,PL,9.1,10.8,12.3,11.8,11.1,11.4,8.6,5.4,2.8,2.9,3.2,4.0,4.6,4.8,4.1,3.0,2.1,1.5,1.0,0.7
30,LTU,Y15-74,PC_ACT,F,PT,2.0,1.9,2.2,2.7,3.4,4.3,4.5,4.5,4.1,4.8,6.3,6.4,7.6,9.1,8.5,7.2,6.0,4.7,3.2,3.0
31,LTU,Y15-74,PC_ACT,F,RO,3.5,3.1,4.4,4.1,3.8,3.4,3.4,2.7,1.8,1.8,1.9,2.6,2.7,3.0,2.4,2.6,2.5,1.5,1.3,1.4
32,LTU,Y15-74,PC_ACT,F,RS,,,,,,,,,,,,,,,13.4,11.6,9.8,7.8,7.2,5.9
33,LTU,Y15-74,PC_ACT,F,SE,,0.8,0.8,0.8,1.0,,,0.8,0.7,1.0,1.3,1.3,1.2,1.2,1.3,1.2,1.1,1.0,0.9,0.8
34,LTU,Y15-74,PC_ACT,F,SI,4.2,4.0,3.6,3.6,3.4,3.3,3.5,2.7,2.1,1.9,2.9,3.5,4.4,5.5,5.7,5.4,4.5,3.2,2.4,2.1
35,LTU,Y15-74,PC_ACT,F,SK,10.1,11.3,12.5,11.7,12.4,12.3,11.2,9.3,7.7,7.4,9.5,9.0,9.5,10.0,9.1,8.3,6.2,4.9,4.1,3.3
36,LTU,Y15-74,PC_ACT,F,TR,,,,,,,3.6,3.2,3.1,3.8,3.9,3.2,2.7,3.0,3.2,3.4,3.5,3.9,3.9,5.1
37,LTU,Y15-74,PC_ACT,F,UK,0.9,0.8,0.7,0.7,0.6,0.7,0.8,0.9,0.9,1.4,1.8,2.0,2.2,2.2,1.8,1.4,1.1,1.0,0.9,0.8
38,LTU,Y15-74,PC_ACT,M,AT,,,1.1,1.2,1.5,1.4,1.5,1.2,1.0,1.2,1.4,1.3,1.3,1.4,1.7,1.9,2.2,2.0,1.5,1.2
39,LTU,Y15-74,PC_ACT,M,BE,3.1,2.9,3.2,3.3,3.7,3.9,3.7,3.3,3.0,3.4,4.0,3.4,3.5,4.0,4.7,4.8,4.2,3.6,3.2,2.6
40,LTU,Y15-74,PC_ACT,M,BG,9.8,13.2,12.5,9.2,7.3,6.1,4.8,3.7,2.7,2.8,5.0,7.0,7.7,8.1,7.7,6.1,4.8,3.6,3.4,2.6
41,LTU,Y15-74,PC_ACT,M,CH,,,,,,,,,,,1.4,1.5,1.4,1.3,1.6,1.7,1.7,1.5,1.6,1.4
42,LTU,Y15-74,PC_ACT,M,CY,,,,,,0.9,0.7,0.8,0.5,0.6,1.3,1.7,3.9,6.5,8.3,7.4,6.4,5.0,2.6,1.8
43,LTU,Y15-74,PC_ACT,M,CZ,3.4,3.4,3.0,2.9,3.4,3.4,3.1,2.1,1.7,1.6,2.6,2.4,2.6,2.5,2.2,2.0,1.4,0.8,0.6,0.6
44,LTU,Y15-74,PC_ACT,M,DE,,,,,,6.0,5.7,4.8,3.9,3.6,3.5,3.0,2.6,2.5,2.4,2.3,1.9,1.8,1.6,1.4
45,LTU,Y15-74,PC_ACT,M,DK,0.9,0.8,0.7,1.2,1.1,1.1,0.7,0.5,0.4,0.6,1.7,1.9,2.1,1.6,1.7,1.6,1.2,1.2,0.9,0.8
46,LTU,Y15-74,PC_ACT,M,EA19,,,,,,3.6,3.4,2.9,2.6,3.1,4.2,4.5,5.2,5.9,6.0,5.5,4.8,4.2,3.6,3.1
47,LTU,Y15-74,PC_ACT,M,EE,7.7,7.2,7.3,5.4,5.9,4.5,3.2,2.9,2.0,4.4,9.3,7.9,6.1,4.2,3.9,2.5,2.4,2.2,1.5,1.0
48,LTU,Y15-74,PC_ACT,M,EL,3.6,3.3,3.1,3.0,3.0,2.6,2.6,2.2,2.1,2.4,3.9,6.8,12.2,16.2,17.2,15.8,14.1,12.6,10.5,9.6
49,LTU,Y15-74,PC_ACT,M,ES,3.4,2.3,2.4,2.5,2.3,1.5,1.2,1.1,1.4,3.7,7.1,8.6,10.7,12.5,12.3,10.5,8.4,6.7,5.4,4.4
50,LTU,Y15-74,PC_ACT,M,EU27_2020,,,,,,4.1,3.7,3.0,2.5,2.9,4.0,4.3,4.9,5.4,5.4,4.9,4.3,3.7,3.1,2.6
51,LTU,Y15-74,PC_ACT,M,EU28,,,,,,3.7,3.4,2.8,2.4,2.8,3.9,4.1,4.6,5.1,5.0,4.5,3.9,3.3,2.8,2.4
