,unit,sex,age,isced11,geo,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,PC,T,Y20-64,ED0-2,AT,52.0,54.0,56.5,55.7,54.0,54.9,55.3,54.7,53.9,53.1,53.1,53.9,53.9,55.6,55.7
1,PC,T,Y20-64,ED0-2,BE,48.8,48.8,49.5,49.1,47.7,48.4,47.3,47.1,46.8,46.6,45.6,45.6,45.9,45.6,46.3
2,PC,T,Y20-64,ED0-2,BG,39.4,40.2,43.5,46.5,45.0,39.8,36.7,36.2,36.9,38.6,39.0,39.2,44.4,46.2,51.2
3,PC,T,Y20-64,ED0-2,CH,66.5,66.2,67.3,69.0,69.0,67.1,67.7,68.1,67.9,67.9,68.1,68.1,67.7,69.2,69.7
4,PC,T,Y20-64,ED0-2,CY,64.8,66.6,66.4,64.1,64.9,66.8,65.1,57.8,54.9,54.6,55.1,56.8,57.0,61.6,63.2
5,PC,T,Y20-64,ED0-2,CZ,39.6,42.6,44.5,44.8,42.5,41.6,40.4,38.6,40.4,41.6,40.2,43.7,49.2,50.9,53.4
6,PC,T,Y20-64,ED0-2,DE,51.9,54.1,55.0,55.9,55.7,56.1,57.4,57.8,58.3,58.0,58.5,58.9,59.6,60.7,61.8
7,PC,T,Y20-64,ED0-2,DK,62.5,63.6,67.7,67.0,63.9,61.1,60.5,58.6,57.9,58.2,57.6,59.7,59.4,59.4,59.5
8,PC,T,Y20-64,ED0-2,EA19,56.1,57.0,57.5,57.2,54.8,54.0,53.6,52.5,51.5,51.5,52.4,53.2,54.4,55.5,56.1
9,PC,T,Y20-64,ED0-2,EE,50.5,56.0,56.0,58.6,47.0,44.2,48.4,49.4,56.9,59.4,57.7,61.8,65.7,65.7,63.2
10,PC,T,Y20-64,ED0-2,EL,58.0,59.6,60.2,60.4,59.8,57.8,53.5,48.0,45.8,46.5,48.1,48.1,49.2,49.9,50.2
11,PC,T,Y20-64,ED0-2,ES,59.5,60.8,61.3,59.4,53.7,52.5,51.5,48.3,47.2,48.2,50.6,52.9,54.6,56.6,57.8
12,PC,T,Y20-64,ED0-2,EU27_2020,54.5,55.4,56.1,56.0,53.9,53.1,52.5,51.6,50.7,51.0,51.7,52.5,53.9,55.0,55.7
13,PC,T,Y20-64,ED0-2,EU28,55.5,56.3,56.9,56.4,54.2,53.3,52.8,52.1,51.3,51.8,52.6,53.6,54.9,56.1,56.7
14,PC,T,Y20-64,ED0-2,FI,57.5,57.9,58.2,58.8,55.8,53.9,54.1,53.9,52.2,51.7,50.8,52.0,51.3,52.9,52.0
15,PC,T,Y20-64,ED0-2,FR,57.9,57.4,57.3,57.0,55.6,55.0,55.2,54.9,53.6,52.5,51.4,50.5,51.9,52.2,51.7
16,PC,T,Y20-64,ED0-2,HR,45.1,42.5,45.7,47.6,48.3,46.2,43.3,40.7,38.5,37.8,39.3,37.9,34.7,37.2,39.5
17,PC,T,Y20-64,ED0-2,HU,37.7,37.6,37.3,37.6,35.9,36.1,36.2,36.9,38.1,44.3,47.1,50.7,53.9,55.7,55.7
18,PC,T,Y20-64,ED0-2,IE,58.5,58.8,58.6,56.7,50.0,46.8,44.6,43.0,46.0,46.5,48.8,49.6,50.5,51.5,52.4
19,PC,T,Y20-64,ED0-2,IS,82.3,83.8,83.7,82.7,75.7,74.9,72.8,72.6,74.1,77.5,79.5,79.5,77.9,77.0,76.6
20,PC,T,Y20-64,ED0-2,IT,51.7,52.2,52.5,52.1,50.7,49.9,50.1,50.0,48.8,48.7,49.4,50.3,51.0,51.7,52.1
21,PC,T,Y20-64,ED0-2,LT,46.6,46.1,48.9,42.1,36.2,29.6,31.8,35.2,37.1,42.0,42.7,42.3,44.1,46.9,47.9
22,PC,T,Y20-64,ED0-2,LU,60.4,59.3,60.8,59.8,58.9,58.5,58.6,60.1,58.6,57.3,58.4,56.4,56.4,58.9,57.6
23,PC,T,Y20-64,ED0-2,LV,50.5,54.8,59.0,57.0,45.8,45.1,46.7,50.3,49.0,50.0,53.2,54.8,56.7,57.5,59.9
24,PC,T,Y20-64,ED0-2,ME,,,,,,,24.9,24.6,22.6,25.4,29.6,34.0,38.2,39.5,36.4
25,PC,T,Y20-64,ED0-2,MK,,30.3,29.8,31.6,33.0,32.7,33.5,31.6,34.7,36.3,35.0,33.4,34.9,36.3,38.3
26,PC,T,Y20-64,ED0-2,MT,48.2,48.5,48.8,49.5,48.3,48.9,50.2,51.2,53.0,54.6,55.9,58.1,59.2,62.2,66.0
27,PC,T,Y20-64,ED0-2,NL,58.5,59.1,60.4,62.7,62.3,61.1,62.0,61.9,60.3,58.7,59.8,60.7,61.2,62.6,63.2
28,PC,T,Y20-64,ED0-2,NO,56.0,64.4,66.3,67.2,66.3,64.3,65.0,64.8,61.9,61.3,60.5,60.3,59.9,60.5,60.8
