,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,PC,Y_GE15,F,AT11,,5.5,,,5.0,,4.9,5.9,5.9,5.8,4.5,
1,PC,Y_GE15,F,AT12,4.3,4.5,3.7,4.5,4.6,5.1,5.0,4.9,4.6,4.2,3.3,4.0
2,PC,Y_GE15,F,AT13,6.8,7.5,7.3,7.4,7.8,8.6,9.0,8.8,9.6,8.9,8.7,8.3
3,PC,Y_GE15,F,AT21,4.3,4.7,4.4,4.5,5.1,5.6,5.9,5.8,5.9,4.8,4.5,4.4
4,PC,Y_GE15,F,AT22,3.9,4.7,4.7,3.6,4.3,4.8,4.9,4.8,5.1,4.1,4.5,3.5
5,PC,Y_GE15,F,AT31,3.2,4.4,3.7,3.5,3.3,4.3,4.3,4.0,4.3,3.7,3.4,2.9
6,PC,Y_GE15,F,AT32,3.1,3.7,3.7,3.2,2.9,2.8,3.3,3.4,2.9,2.8,2.8,2.2
7,PC,Y_GE15,F,AT33,3.0,3.4,3.0,2.8,3.1,3.4,2.8,3.0,3.5,3.9,2.3,2.2
8,PC,Y_GE15,F,AT34,4.9,5.7,4.7,5.0,4.6,3.4,,3.7,3.5,3.5,3.8,3.2
9,PC,Y_GE15,F,BE10,16.6,15.7,17.9,15.4,16.7,17.0,16.1,15.8,16.0,14.7,11.8,12.5
10,PC,Y_GE15,F,BE21,4.6,6.1,5.8,5.5,4.8,6.2,6.2,5.7,5.9,6.6,4.1,3.2
11,PC,Y_GE15,F,BE22,5.4,5.4,5.3,5.2,5.3,5.3,5.2,4.6,5.2,4.6,3.8,3.7
12,PC,Y_GE15,F,BE23,3.9,4.3,4.8,3.9,4.5,4.0,4.2,4.0,4.2,3.6,2.7,2.5
13,PC,Y_GE15,F,BE24,3.9,4.6,5.0,3.8,4.2,5.9,4.8,4.9,4.4,5.1,2.9,3.5
14,PC,Y_GE15,F,BE25,3.3,4.1,4.5,3.1,3.8,3.6,4.1,3.4,3.5,3.5,3.1,3.1
15,PC,Y_GE15,F,BE31,6.8,7.1,9.0,7.2,7.8,7.8,9.2,7.8,8.2,6.6,6.1,5.0
16,PC,Y_GE15,F,BE32,13.6,14.4,15.1,12.9,12.4,12.9,12.3,12.1,11.3,10.9,9.5,7.1
17,PC,Y_GE15,F,BE33,11.6,12.7,11.5,9.6,9.6,12.1,11.3,12.5,10.6,9.5,7.2,5.7
18,PC,Y_GE15,F,BE34,9.3,7.8,8.0,7.6,7.4,8.3,9.6,10.3,8.9,6.4,5.4,4.8
19,PC,Y_GE15,F,BE35,10.3,9.7,10.8,7.9,7.6,10.8,9.2,10.5,9.5,6.4,8.9,5.5
20,PC,Y_GE15,F,BG31,6.5,7.7,9.8,11.3,11.1,11.6,11.5,10.5,10.5,10.4,9.1,9.4
21,PC,Y_GE15,F,BG32,8.4,8.2,10.2,11.5,11.5,13.9,11.7,9.8,8.4,6.0,5.9,4.7
