,unit,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,PC_ACT,AT11,,,,,,,,,,,,
1,PC_ACT,AT12,1.1,1.1,0.9,1.2,1.4,1.2,1.4,1.5,1.8,1.8,1.2,1.0
2,PC_ACT,AT13,2.2,2.6,2.6,2.6,2.7,2.8,3.1,3.8,4.4,4.1,3.4,2.8
3,PC_ACT,AT21,,,,,,1.4,1.6,1.8,1.5,1.7,1.1,
4,PC_ACT,AT22,0.8,1.0,1.1,1.0,0.7,1.2,1.4,1.2,1.4,1.4,1.0,0.6
5,PC_ACT,AT31,0.5,0.6,0.9,0.7,0.6,0.8,1.0,0.8,1.2,1.1,0.6,0.6
6,PC_ACT,AT32,,,,,,,,,,,,
7,PC_ACT,AT33,,,,,,,,,0.8,,,
8,PC_ACT,AT34,,,,,,,,,,,,
9,PC_ACT,BE10,8.9,8.3,9.7,9.8,9.5,10.9,10.6,11.0,10.2,8.0,7.5,6.9
10,PC_ACT,BE21,1.7,1.8,2.4,2.2,2.0,2.2,2.4,2.7,2.8,2.2,1.6,1.2
11,PC_ACT,BE22,1.5,1.5,1.8,1.5,1.2,1.6,2.3,2.1,2.1,1.5,0.9,0.8
12,PC_ACT,BE23,1.4,1.0,1.7,1.3,1.1,1.1,1.6,1.4,1.5,1.0,0.9,0.7
13,PC_ACT,BE24,1.6,1.7,1.8,1.5,1.5,2.0,1.7,2.0,2.1,1.6,1.3,1.3
14,PC_ACT,BE25,0.9,1.4,1.6,0.9,1.3,1.1,1.3,1.5,1.2,1.0,0.8,0.7
15,PC_ACT,BE31,3.1,2.9,3.9,3.1,3.0,4.1,5.0,4.0,3.6,3.6,3.3,2.3
16,PC_ACT,BE32,6.3,7.7,8.3,6.4,6.2,7.1,9.1,7.8,7.3,7.1,5.9,4.7
17,PC_ACT,BE33,4.9,5.6,6.3,5.0,5.1,6.2,6.3,7.5,6.4,6.5,4.6,3.2
18,PC_ACT,BE34,3.2,3.2,3.2,2.7,3.7,2.9,4.0,4.3,2.8,2.6,2.9,2.1
19,PC_ACT,BE35,5.3,5.2,5.0,4.1,3.6,4.9,4.1,6.3,4.5,3.7,4.5,3.5
20,PC_ACT,BG31,4.3,4.3,6.4,8.9,8.2,8.9,9.7,9.1,8.1,7.4,8.6,9.0
21,PC_ACT,BG32,5.2,4.1,5.6,7.7,8.7,10.1,8.6,6.8,6.1,4.3,4.2,3.0
22,PC_ACT,BG33,4.5,4.8,6.5,8.1,10.0,9.7,6.7,5.5,5.2,4.7,4.1,2.7
23,PC_ACT,BG34,2.6,3.0,4.4,5.6,5.6,6.1,6.9,5.6,3.8,3.6,2.7,1.9
24,PC_ACT,BG41,1.2,1.4,2.8,3.6,4.2,5.3,5.4,4.3,3.2,1.7,1.4,1.1
25,PC_ACT,BG42,2.5,2.8,5.7,7.8,7.7,8.0,7.1,5.5,3.9,2.7,2.0,1.3
26,PC_ACT,CH01,1.7,2.0,2.5,2.5,2.5,2.5,3.0,2.9,3.1,3.0,2.8,3.0
27,PC_ACT,CH02,1.0,0.8,1.7,1.5,1.3,1.2,1.4,1.6,1.5,1.5,1.7,1.1
28,PC_ACT,CH03,1.1,1.4,1.3,1.9,1.5,1.5,1.8,1.4,1.4,1.5,1.5,1.1
29,PC_ACT,CH04,0.9,0.7,1.3,1.3,1.2,1.2,1.4,1.5,1.3,1.3,1.6,1.2
30,PC_ACT,CH05,0.8,1.1,1.2,1.2,0.9,0.9,1.2,1.0,1.5,1.2,1.2,1.1
31,PC_ACT,CH06,0.6,0.6,0.9,0.8,0.7,0.7,1.1,1.4,1.3,0.9,0.9,1.0
32,PC_ACT,CH07,1.7,2.3,2.2,2.1,2.7,3.2,2.9,4.2,3.1,2.3,2.7,2.8
33,PC_ACT,CY00,0.5,0.6,1.3,1.6,3.5,6.1,7.7,6.8,5.8,4.5,2.7,2.1
34,PC_ACT,CZ01,0.7,0.8,0.9,0.8,1.0,1.1,0.8,0.8,0.8,0.5,0.3,0.3
35,PC_ACT,CZ02,1.0,0.9,1.6,1.7,1.4,1.8,1.9,1.2,1.0,0.8,0.6,0.3
36,PC_ACT,CZ03,0.9,0.9,1.8,2.0,2.3,2.3,2.3,1.8,1.2,0.6,0.5,0.5
37,PC_ACT,CZ04,4.8,3.9,6.1,5.1,5.8,4.8,4.6,4.3,2.5,1.4,1.1,1.2
38,PC_ACT,CZ05,1.8,1.7,2.8,2.0,3.4,3.3,2.5,2.3,1.5,0.8,0.5,0.4
39,PC_ACT,CZ06,1.9,2.0,3.1,3.0,2.9,2.8,2.5,2.2,1.5,1.0,0.7,0.5
40,PC_ACT,CZ07,2.3,2.4,3.6,3.1,3.4,3.7,3.0,2.6,1.5,1.0,0.7,0.7
41,PC_ACT,CZ08,4.3,3.7,4.5,4.4,4.5,4.8,4.2,4.5,3.7,2.0,1.4,1.4
42,PC_ACT,DE11,1.8,1.9,2.0,1.5,1.2,1.3,1.2,1.0,0.9,0.9,0.8,0.5
43,PC_ACT,DE12,2.1,2.1,2.2,1.8,1.4,1.3,1.2,1.3,1.0,0.9,0.9,0.8
44,PC_ACT,DE13,1.2,1.3,1.3,1.1,0.9,0.9,0.9,0.7,0.9,0.9,0.7,0.5
45,PC_ACT,DE14,1.5,1.6,1.7,1.1,0.9,0.8,1.0,1.0,0.7,0.6,0.5,
