,unit,sex,worktime,wstatus,isco08,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,HR,T,FT,EMP,TOTAL,AT,44.0,43.8,43.6,43.5,43.4,43.1,43.0,42.9,42.8,42.7,42.5,42.4
1,HR,T,FT,EMP,TOTAL,BE,40.9,41.0,41.2,41.4,41.4,41.7,41.4,41.4,41.4,41.3,41.0,41.1
2,HR,T,FT,EMP,TOTAL,BG,42.0,41.7,41.6,41.3,41.1,41.2,41.2,41.2,41.2,41.1,41.0,40.8
3,HR,T,FT,EMP,TOTAL,CH,42.7,42.5,43.3,43.2,43.1,43.1,43.0,43.0,43.0,42.9,42.9,42.8
4,HR,T,FT,EMP,TOTAL,CY,41.9,42.1,42.2,42.0,42.1,42.5,42.4,42.3,42.2,42.0,41.7,41.6
5,HR,T,FT,EMP,TOTAL,CZ,42.7,42.6,42.5,42.2,42.1,41.9,41.8,41.8,41.7,41.7,41.7,41.5
6,HR,T,FT,EMP,TOTAL,DE,41.7,41.9,41.8,41.9,41.9,41.7,41.5,41.4,41.3,41.2,41.0,41.0
7,HR,T,FT,EMP,TOTAL,DK,38.9,38.8,38.8,38.9,38.8,38.8,38.8,39.0,38.7,38.7,38.6,38.4
8,HR,T,FT,EMP,TOTAL,EA19,41.5,41.5,41.4,41.4,41.4,41.3,41.2,41.2,41.1,41.0,41.0,40.9
9,HR,T,FT,EMP,TOTAL,EE,40.9,40.8,40.9,40.8,40.9,40.8,40.8,40.8,40.5,40.5,40.6,40.5
10,HR,T,FT,EMP,TOTAL,EL,43.7,43.9,43.7,43.7,43.8,44.1,44.2,44.5,44.6,44.4,44.2,43.9
11,HR,T,FT,EMP,TOTAL,ES,41.8,41.7,41.7,41.5,41.5,41.7,41.6,41.4,41.2,41.0,40.9,40.6
12,HR,T,FT,EMP,TOTAL,EU27_2020,41.6,41.5,41.5,41.4,41.4,41.3,41.3,41.2,41.2,41.1,41.0,40.9
13,HR,T,FT,EMP,TOTAL,EU28,41.8,41.7,41.6,41.6,41.6,41.5,41.5,41.4,41.4,41.3,41.2,41.1
14,HR,T,FT,EMP,TOTAL,FI,40.3,40.2,40.2,40.2,40.2,40.0,40.0,40.1,40.1,40.2,40.2,40.2
15,HR,T,FT,EMP,TOTAL,FR,41.0,41.1,41.1,41.2,41.1,40.7,40.5,40.4,40.5,40.4,40.4,40.5
16,HR,T,FT,EMP,TOTAL,HR,42.1,42.1,42.0,41.7,41.4,41.1,41.2,41.0,40.8,40.8,40.9,40.8
17,HR,T,FT,EMP,TOTAL,HU,40.8,40.7,40.6,40.6,40.6,40.7,40.9,40.9,40.7,40.6,40.5,40.5
18,HR,T,FT,EMP,TOTAL,IE,39.9,39.6,39.7,39.8,39.9,40.1,40.3,40.4,40.5,40.6,40.7,40.8
19,HR,T,FT,EMP,TOTAL,IS,46.1,44.9,44.3,44.5,44.7,44.9,45.0,45.1,45.0,44.6,44.4,44.0
20,HR,T,FT,EMP,TOTAL,IT,41.0,40.7,40.6,40.4,40.3,40.4,40.5,40.6,40.6,40.7,40.7,40.7
21,HR,T,FT,EMP,TOTAL,LT,40.1,39.7,39.7,39.6,39.6,39.6,39.5,39.6,39.7,39.8,40.0,40.0
22,HR,T,FT,EMP,TOTAL,LU,40.0,40.9,40.6,40.5,40.8,40.8,40.8,40.8,40.9,40.9,40.6,40.6
23,HR,T,FT,EMP,TOTAL,LV,41.4,41.0,40.6,40.6,40.5,40.4,40.5,40.6,40.5,40.4,40.4,40.3
24,HR,T,FT,EMP,TOTAL,ME,,,,43.1,44.0,44.2,44.2,44.8,44.1,44.2,45.0,45.3
25,HR,T,FT,EMP,TOTAL,MK,45.4,45.0,44.5,44.2,43.6,43.3,43.2,42.8,42.7,43.3,43.0,42.3
26,HR,T,FT,EMP,TOTAL,MT,41.2,41.2,41.4,41.5,41.4,41.3,41.3,41.5,41.4,41.4,41.6,42.2
27,HR,T,FT,EMP,TOTAL,NL,41.0,41.1,41.0,40.9,40.8,40.7,40.9,40.9,40.9,40.8,40.8,40.7
28,HR,T,FT,EMP,TOTAL,NO,39.2,39.1,39.0,39.0,39.1,39.0,39.1,38.9,39.0,39.0,38.9,38.8
29,HR,T,FT,EMP,TOTAL,PL,42.7,42.4,42.3,42.2,42.3,42.3,42.4,42.2,42.1,41.9,41.8,41.7
30,HR,T,FT,EMP,TOTAL,PT,41.6,41.4,41.3,42.4,42.6,42.7,42.8,42.4,42.1,42.0,41.8,41.7
31,HR,T,FT,EMP,TOTAL,RO,41.1,40.9,40.8,40.8,40.7,40.5,40.4,40.4,40.4,40.3,40.2,40.3
32,HR,T,FT,EMP,TOTAL,RS,,,44.6,44.4,45.1,45.0,44.8,44.9,44.4,44.1,43.9,43.8
33,HR,T,FT,EMP,TOTAL,SE,40.9,40.9,40.9,40.8,40.8,40.8,40.8,40.7,40.7,40.7,40.6,40.7
34,HR,T,FT,EMP,TOTAL,SI,42.5,42.1,41.9,41.8,41.9,41.9,41.9,41.6,41.4,41.4,41.4,41.4
35,HR,T,FT,EMP,TOTAL,SK,41.5,41.4,41.4,41.5,41.7,41.8,41.7,41.6,41.4,41.2,41.1,41.2
36,HR,T,FT,EMP,TOTAL,TR,53.6,53.2,53.2,52.9,52.4,52.0,51.4,50.9,50.0,49.6,48.9,48.5
37,HR,T,FT,EMP,TOTAL,UK,43.0,42.8,42.8,42.7,42.8,42.8,43.0,42.9,42.8,42.6,42.5,42.5
