s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,F,THS_PER,AT	88 	89 	88 	90 	92 	91 	93 	101 	104 	102 	96 	: 
SA,TOTAL,F,THS_PER,BE	117 	113 	110 	110 	115 	117 	120 	125 	124 	123 	121 	: 
SA,TOTAL,F,THS_PER,BG	56 	58 	58 	57 	61 	59 	59 	72 	68 	64 	64 	: 
SA,TOTAL,F,THS_PER,CH	106 	100 	97 	98 	102 	102 	104 	103 	105 	106 	: 	: 
SA,TOTAL,F,THS_PER,CY	16 	16 	16 	15 	14 	13 	13 	17 	18 	15 	13 	: 
SA,TOTAL,F,THS_PER,CZ	57 	57 	54 	54 	54 	55 	57 	60 	66 	68 	74 	: 
SA,TOTAL,F,THS_PER,DE	524 	536 	555 	581 	619 e	668 e	727 e	787 e	841 e	881 e	903 e	: 
SA,TOTAL,F,THS_PER,DK	78 	80 	78 	75 	71 	73 	71 	75 	85 	90 	87 	: 
SA,TOTAL,F,THS_PER,EA	5953 	5918 	5907 	5878 	6005 	5896 	5784 	5712 	5824 	5984 	6192 	: 
SA,TOTAL,F,THS_PER,EA18	5912 	5879 	5867 	5837 	5965 	5855 	5742 	5663 	5770 	5929 	6137 	: 
SA,TOTAL,F,THS_PER,EA19	5953 	5918 	5907 	5878 	6005 	5896 	5784 	5712 	5824 	5984 	6192 	: 
SA,TOTAL,F,THS_PER,EE	17 	15 	16 	15 	15 	15 	15 	21 	25 	24 	: 	: 
SA,TOTAL,F,THS_PER,EL	433 	424 	425 	414 	413 	404 	318 	389 	439 	421 	: 	: 
SA,TOTAL,F,THS_PER,ES	1733 	1709 	1687 	1678 	1704 	1669 	1716 	1734 	1703 	1714 	1703 	: 
SA,TOTAL,F,THS_PER,EU27_2007	7338 	7303 	7294 	7243 	7400 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,F,THS_PER,EU27_2020	6840 	6797 	6787 	6729 	6872 	6784 	6657 	6691 	6888 	7079 	7264 	: 
SA,TOTAL,F,THS_PER,EU28	7396 	7360 	7351 	7299 	7455 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,F,THS_PER,FI	85 	85 	86 	87 	87 	88 	90 	92 	93 	95 	96 	: 
SA,TOTAL,F,THS_PER,FR	1185 	1174 	1169 	1166 	1184 	1127 	1070 	1061 	907 	863 	951 	: 
SA,TOTAL,F,THS_PER,HR	58 	57 	57 	57 	55 	54 	59 	73 	82 	80 	79 	: 
SA,TOTAL,F,THS_PER,HU	78 	80 	75 	76 	76 	78 	80 	88 	110 	111 	: 	: 
SA,TOTAL,F,THS_PER,IE	50 	50 	51 	52 	54 	54 	55 	50 	50 	53 	56 	57 
SA,TOTAL,F,THS_PER,IS	3 	3 	3 	3 	4 	4 	3 	4 	4 	4 	4 	: 
SA,TOTAL,F,THS_PER,IT	1199 	1207 	1200 	1176 	1215 	1165 	1067 	802 	1011 	1088 	1168 	: 
SA,TOTAL,F,THS_PER,JP	670 	690 	630 	620 	690 	660 	690 	680 	750 	750 	830 	: 
SA,TOTAL,F,THS_PER,LT	41 	39 	40 	41 	40 	40 	42 	49 	53 	56 	55 	: 
SA,TOTAL,F,THS_PER,LU	8 	8 	8 	8 	8 	8 	9 	10 	11 	11 	10 	: 
SA,TOTAL,F,THS_PER,LV	26 	26 	26 	28 	29 	29 	30 	34 	36 	36 	36 	: 
