unit,age,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC,Y20-64,F,AT11	67.5 	68.2 	68.7 	68.1 	68.4 	68.7 	68.3 	68.4 	69.0 	70.0 	70.0 	70.3 
PC,Y20-64,F,AT12	70.0 	70.2 	70.8 	70.9 	71.4 	71.2 	71.9 	72.2 	72.5 	74.3 	73.8 	74.0 
PC,Y20-64,F,AT13	63.5 	64.6 	65.0 	65.8 	65.5 	66.2 	65.1 	65.0 	65.5 	65.3 	65.8 	66.4 
PC,Y20-64,F,AT21	64.7 	64.9 	65.7 	66.3 	67.1 	68.1 	68.3 	68.0 	68.6 	69.4 	69.8 	69.7 
PC,Y20-64,F,AT22	67.4 	67.9 	69.1 	69.0 	67.9 	68.8 	69.1 	69.5 	70.5 	71.5 	71.8 	72.8 
PC,Y20-64,F,AT31	70.2 	70.1 	71.3 	71.7 	73.0 	72.4 	73.2 	73.4 	74.3 	74.6 	74.4 	76.2 
PC,Y20-64,F,AT32	70.3 	71.0 	70.5 	71.9 	73.7 	74.3 	72.8 	72.9 	74.6 	74.9 	76.3 	76.6 
PC,Y20-64,F,AT33	68.2 	69.6 	70.4 	69.9 	71.5 	72.6 	72.9 	73.1 	73.1 	72.8 	74.2 	75.3 
PC,Y20-64,F,AT34	67.0 	68.3 	68.6 	68.4 	70.5 	71.6 	72.8 	72.3 	74.3 	73.8 	74.5 	74.7 
PC,Y20-64,F,BE10	52.3 	53.2 	52.5 	52.5 b	52.3 	52.4 	53.7 	53.2 	54.3 	54.6 b	56.6 	56.0 
PC,Y20-64,F,BE21	63.7 	62.2 	64.8 	62.7 b	62.8 	63.8 	64.4 	66.2 	63.7 	64.9 b	67.9 	69.2 
PC,Y20-64,F,BE22	62.7 	63.5 	63.8 	64.1 b	63.8 	63.8 	64.9 	64.5 	64.2 	66.9 b	68.9 	69.3 
PC,Y20-64,F,BE23	68.6 	67.9 	68.1 	68.6 b	67.8 	69.3 	69.2 	69.9 	69.9 	68.4 b	72.1 	73.0 
PC,Y20-64,F,BE24	68.8 	69.0 	68.9 	69.0 b	70.0 	69.2 	70.8 	70.0 	70.8 	70.1 b	72.9 	73.6 
PC,Y20-64,F,BE25	66.9 	66.7 	68.0 	68.8 b	67.9 	68.8 	69.3 	70.3 	70.6 	72.0 b	72.7 	73.2 
PC,Y20-64,F,BE31	63.4 	62.0 	63.6 	62.9 b	63.8 	65.0 	65.1 	65.0 	64.3 	68.6 b	68.3 	68.3 
