indic_em,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
SC071,AT	5.6 	5.7 	5.8 	5.2 	5.4 	6.0 	6.2 	7.1 	7.3 	6.7 	6.6 	6.2 
SC071,BE	11.3 	11.8 	12.2 	12.5 b	11.7 	12.4 	12.8 	13.1 	12.6 	12.1 b	11.8 	10.9 
SC071,BG	11.0 b	12.2 	14.9 b	16.9 b	16.9 	16.4 	16.1 	15.9 	14.5 	12.1 	10.8 	9.3 
SC071,CY	3.9 	4.2 b	5.0 	5.8 	7.4 	9.5 	9.9 	9.9 	9.7 	9.5 	6.6 	6.0 
SC071,CZ	7.4 	8.0 	7.8 	7.2 b	7.9 	8.3 	8.0 	8.4 	7.2 	6.0 	5.7 	5.5 
SC071,DE	9.7 b	9.9 	9.6 b	8.8 b	8.6 	8.5 	8.9 	8.8 	9.4 	9.4 	9.1 	8.4 
SC071,DK	3.3 	5.1 	8.5 	8.2 	8.2 	8.0 	8.0 	8.1 	7.9 b	8.9 b	7.5 	7.5 
SC071,EA19	7.8 	8.9 	9.3 	9.5 	10.1 	10.5 	10.6 	10.4 	10.4 	9.8 	9.4 	9.0 
SC071,EE	6.7 	12.0 b	12.9 	8.8 	9.4 	8.4 	8.0 	7.5 	6.6 	6.3 	6.9 	7.3 
SC071,EL	3.6 	4.9 b	6.3 	9.2 	13.0 	13.3 	11.3 	11.5 	10.8 	9.2 	8.7 	8.3 
SC071,ES	6.5 	9.9 	10.7 	11.9 	13.8 	14.1 	13.0 	11.8 	10.9 	9.8 	8.9 	8.3 
SC071,EU27_2020	: 	9.0 	9.5 	9.8 	10.2 	10.6 	10.5 	10.3 	10.1 	9.5 	9.1 	8.7 
SC071,EU28	: 	10.2 	10.7 	10.9 	11.2 	11.3 	11.1 	10.7 	10.5 	9.8 	9.4 	9.0 
SC071,FI	4.1 b	4.8 	4.4 	4.9 	4.4 	5.9 	4.9 	5.3 	6.2 	5.1 	5.8 	4.8 
SC071,FR	8.4 	9.2 	9.6 	9.9 	10.3 	10.8 b	12.0 b	12.2 	12.7 	12.1 	11.5 	11.5 
SC071,HR	6.7 	6.6 	9.7 	11.0 	11.0 	11.9 	10.7 	8.5 	7.3 	8.4 	8.0 	5.7 
SC071,HU	14.7 	16.0 	16.7 	16.9 	15.6 	14.7 	10.9 	9.1 	8.2 	7.5 	6.4 	5.6 
SC071,IE	12.8 	16.9 	19.7 	20.3 	20.2 	17.7 	15.9 	14.3 	13.2 	11.8 b	11.4 	10.9 
SC071,IT	6.8 	7.6 	8.2 	8.4 	9.2 	10.3 	10.8 	10.6 	10.3 	9.6 	9.2 	9.4 
SC071,LT	10.5 	11.5 	14.8 	13.0 	12.4 	11.8 	10.9 	11.4 	11.2 	9.8 	9.4 	8.5 
SC071,LU	3.6 	4.4 b	2.8 	4.8 	3.6 	3.8 	4.0 	3.5 b	7.3 	7.6 	8.5 	6.2 
SC071,LV	7.5 	11.1 	12.0 	12.1 	11.2 	8.8 	8.3 	7.2 	7.9 	8.2 	8.0 	7.6 
SC071,ME	: 	: 	: 	21.0 	25.0 	28.3 	24.2 	20.3 	19.5 	18.3 	16.7 	17.1 
SC071,MK	25.1 	21.9 	24.6 	24.8 	24.1 	18.6 	18.5 	19.4 	14.7 	15.6 	13.8 	11.4 
SC071,MT	8.5 	9.4 	9.7 	8.5 	8.4 	7.4 	9.0 	8.3 	7.2 	7.7 	6.6 	7.0 
SC071,NL	5.2 	5.4 	5.6 	5.5 	5.8 	7.0 	7.0 	6.6 	6.5 	6.3 	6.3 	5.3 
SC071,PL	8.2 b	8.0 	8.7 b	8.6 	9.1 	9.8 	9.4 	9.0 	8.6 	8.3 	8.0 	8.3 
SC071,PT	4.8 	6.2 	7.1 	7.9 b	9.4 	10.1 	7.7 	6.7 	6.5 	5.9 	5.1 	4.5 
SC071,RO	9.9 	9.9 	9.9 b	12.2 	11.7 	11.6 	11.4 	10.4 	11.1 	9.4 	8.5 	7.3 
SC071,RS	: 	: 	11.7 	12.3 	12.7 	12.1 	12.9 b	12.1 	11.3 	10.4 	9.8 	8.4 
SC071,SE	: 	8.3 	9.4 	8.4 	7.3 	8.1 	6.5 	9.4 	5.6 	5.8 	10.3 b	10.5 
SC071,SI	2.6 	3.9 	3.9 	4.0 	4.1 	4.6 	4.5 	4.0 	4.0 	3.0 	2.5 	2.6 
SC071,SK	8.6 	8.4 	10.2 	9.6 b	9.9 	10.4 	10.1 	9.3 	7.7 	8.0 	7.2 	7.5 
SC071,TR	16.1 	16.7 	14.3 	11.9 	11.8 	11.4 	9.5 b	9.9 	9.9 	9.4 	9.5 	12.0 
SC071,UK	16.6 b	17.7 	18.0 	17.5 	16.6 	15.5 	14.2 	13.4 	12.4 	11.6 	11.1 	10.5 
